countyName,latitude,longitude,temperature,temperature_unit,relativeHumidity,precipitationProbability,visibility,visibility_unit,hazard_phenomenon,hazard_significance,alert_event,alert_severity,alert_urgency,alert_expires
Foard,33.97408519,-99.77871109,11.666666666666666,wmoUnit:degC,64,0,,,WI,Y,Red Flag Warning,Severe,Expected,2026-03-11T17:00:00-05:00
Blanco,30.26636128,-98.39974086,16.666666666666668,wmoUnit:degC,93,25,11265.408,wmoUnit:m,SV,A,,,,
Hockley,33.60750375,-102.3430919,8.88888888888889,wmoUnit:degC,56,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Llano,30.70566579,-98.68387398,14.444444444444445,wmoUnit:degC,96,14,11265.408,wmoUnit:m,SV,A,,,,
Swisher,34.53064989,-101.734951,5.555555555555555,wmoUnit:degC,65,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Titus,33.2160906,-94.96509786,18.333333333333332,wmoUnit:degC,100,71,9656.064,wmoUnit:m,,,,,,
Navarro,32.04695429,-96.47248134,18.333333333333332,wmoUnit:degC,93,47,16093.44,wmoUnit:m,SV,A,,,,
Brazoria,29.19345387,-95.45578479,21.666666666666668,wmoUnit:degC,94,11,16093.44,wmoUnit:m,,,,,,
Hidalgo,26.396627,-98.18088681,21.666666666666668,wmoUnit:degC,87,1,,,,,,,,
Archer,33.61539176,-98.68783437,13.333333333333334,wmoUnit:degC,93,0,,,WI,Y,Fire Weather Watch,Severe,Future,2026-03-11T17:00:00-05:00
Refugio,28.32681413,-97.16546961,21.11111111111111,wmoUnit:degC,97,38,9559.503452087469,wmoUnit:m,,,,,,
Andrews,32.30506283,-102.6378839,10.555555555555555,wmoUnit:degC,59,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Galveston,29.39424415,-94.96474975,21.11111111111111,wmoUnit:degC,98,19,16093.44,wmoUnit:m,,,,,,
De Witt,29.08201599,-97.35666976,20.0,wmoUnit:degC,97,61,9656.064,wmoUnit:m,,,,,,
Gonzales,29.45641495,-97.49279927,18.88888888888889,wmoUnit:degC,100,63,9656.064,wmoUnit:m,,,,,,
Wharton,29.2778362,-96.22197375,21.11111111111111,wmoUnit:degC,98,30,12794.284493041932,wmoUnit:m,,,,,,
Fannin,33.59396919,-96.10656755,17.22222222222222,wmoUnit:degC,90,34,16093.44,wmoUnit:m,,,,,,
Madison,30.96564645,-95.92818441,18.88888888888889,wmoUnit:degC,100,61,9479.0359451294,wmoUnit:m,,,Special Weather Statement,Moderate,Expected,2026-03-11T08:30:00-05:00
Moore,35.83768863,-101.8929556,3.888888888888889,wmoUnit:degC,61,0,13711.611616699263,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Tyler,30.7712607,-94.37651432,20.0,wmoUnit:degC,100,57,16093.44,wmoUnit:m,,,,,,
Lipscomb,36.27778432,-100.27317,5.555555555555555,wmoUnit:degC,64,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T12:00:00-05:00
Burleson,30.49246139,-96.62109399,18.333333333333332,wmoUnit:degC,100,65,9656.064,wmoUnit:m,,,,,,
Jim Hogg,27.04340499,-98.6972921,19.444444444444443,wmoUnit:degC,90,2,,,,,,,,
Throckmorton,33.17753907,-99.21236832,13.333333333333334,wmoUnit:degC,86,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Kleberg,27.43274395,-97.72889778,21.11111111111111,wmoUnit:degC,93,16,14548.469698608355,wmoUnit:m,,,,,,
Shelby,31.79242191,-94.14495261,18.333333333333332,wmoUnit:degC,100,69,9656.064,wmoUnit:m,,,Severe Thunderstorm Warning,Severe,Immediate,2026-03-11T09:00:00-05:00
Garza,33.17991074,-101.2984496,10.0,wmoUnit:degC,61,1,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Karnes,28.90493782,-97.85960621,19.444444444444443,wmoUnit:degC,93,42,16093.44,wmoUnit:m,,,,,,
Reeves,31.32307061,-103.693143,12.222222222222221,wmoUnit:degC,57,1,16093.44,wmoUnit:m,WI,Y,,,,
Houston,31.31764137,-95.42225367,18.88888888888889,wmoUnit:degC,100,64,4731.471452087469,wmoUnit:m,,,Severe Thunderstorm Warning,Severe,Immediate,2026-03-11T08:45:00-05:00
El Paso,31.7686226,-106.2352229,8.333333333333334,wmoUnit:degC,83,0,16093.44,wmoUnit:m,,,,,,
Carson,35.40346802,-101.3542037,5.0,wmoUnit:degC,64,0,15111.740712524488,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Medina,29.35520493,-99.11008331,15.555555555555555,wmoUnit:degC,96,12,16093.44,wmoUnit:m,,,,,,
Wichita,33.98421585,-98.70153389,12.222222222222221,wmoUnit:degC,96,0,,,WI,Y,Red Flag Warning,Severe,Expected,2026-03-11T17:00:00-05:00
Chambers,29.73912276,-94.60891308,21.11111111111111,wmoUnit:degC,98,32,14468.002191650448,wmoUnit:m,,,,,,
Donley,34.96540246,-100.8140501,7.777777777777778,wmoUnit:degC,63,1,15562.35660278313,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Hopkins,33.14933822,-95.56414173,18.333333333333332,wmoUnit:degC,93,53,16093.44,wmoUnit:m,,,,,,
Lampasas,31.19627791,-98.24142711,15.555555555555555,wmoUnit:degC,90,19,16093.44,wmoUnit:m,SV,A,,,,
Falls,31.25317017,-96.93579511,17.77777777777778,wmoUnit:degC,93,58,9656.064,wmoUnit:m,SV,A,,,,
Stephens,32.73584155,-98.83612016,15.555555555555555,wmoUnit:degC,84,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Travis,30.33423319,-97.78194654,17.22222222222222,wmoUnit:degC,100,43,16093.44,wmoUnit:m,SV,A,,,,
Roberts,35.8385577,-100.8135689,5.555555555555555,wmoUnit:degC,64,0,15884.225095825224,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Crosby,33.61459873,-101.2998612,8.88888888888889,wmoUnit:degC,65,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Kerr,30.06153035,-99.35016969,13.333333333333334,wmoUnit:degC,96,9,14468.002191650448,wmoUnit:m,SV,A,,,,
Wood,32.78634374,-95.38206498,18.333333333333332,wmoUnit:degC,100,52,11265.408,wmoUnit:m,,,Flood Warning,Severe,Immediate,2026-03-12T08:15:00-05:00
Jack,33.23345819,-98.1725509,15.555555555555555,wmoUnit:degC,87,1,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Marion,32.79797929,-94.35725239,18.333333333333332,wmoUnit:degC,100,54,9656.064,wmoUnit:m,,,,,,
Hale,34.07051782,-101.8269082,7.222222222222222,wmoUnit:degC,63,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Jeff Davis,30.71559322,-104.1403539,3.3333333333333335,wmoUnit:degC,92,0,16093.44,wmoUnit:m,WI,Y,,,,
Tarrant,32.77185236,-97.29116473,16.666666666666668,wmoUnit:degC,90,17,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Waller,30.01093722,-95.98768942,20.555555555555557,wmoUnit:degC,100,47,11265.408,wmoUnit:m,,,,,,
Reagan,31.36617698,-101.5230108,12.222222222222221,wmoUnit:degC,61,0,16093.44,wmoUnit:m,,,,,,
Smith,32.37514553,-95.26909511,20.0,wmoUnit:degC,93,54,16093.44,wmoUnit:m,,,Flood Warning,Severe,Immediate,2026-03-12T08:15:00-05:00
Van Zandt,32.56368961,-95.8364862,18.88888888888889,wmoUnit:degC,87,49,12794.284493041932,wmoUnit:m,,,,,,
Cooke,33.638465,-97.21247642,16.11111111111111,wmoUnit:degC,90,3,12794.284493041932,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Zavala,28.86530621,-99.76102001,16.11111111111111,wmoUnit:degC,93,5,16093.44,wmoUnit:m,,,,,,
Hall,34.53074134,-100.6809876,10.0,wmoUnit:degC,58,1,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Kendall,29.9446397,-98.71160511,14.444444444444445,wmoUnit:degC,100,19,16093.44,wmoUnit:m,SV,A,,,,
Goliad,28.65708563,-97.42646082,20.555555555555557,wmoUnit:degC,97,40,11088.379945129402,wmoUnit:m,,,,,,
Yoakum,33.17293501,-102.8278792,8.333333333333334,wmoUnit:degC,60,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Knox,33.60614755,-99.74144313,11.666666666666666,wmoUnit:degC,69,0,,,WI,Y,Red Flag Warning,Severe,Expected,2026-03-11T17:00:00-05:00
McLennan,31.55234489,-97.20184883,17.77777777777778,wmoUnit:degC,90,44,16093.44,wmoUnit:m,SV,A,,,,
Brewster,29.81205836,-103.2518906,11.666666666666666,wmoUnit:degC,57,0,16093.44,wmoUnit:m,WI,Y,,,,
Panola,32.16222886,-94.30552858,18.88888888888889,wmoUnit:degC,100,77,9656.064,wmoUnit:m,,,,,,
Bandera,29.74724753,-99.24637282,14.444444444444445,wmoUnit:degC,93,11,16093.44,wmoUnit:m,SV,A,,,,
Parmer,34.53014507,-102.784594,4.444444444444445,wmoUnit:degC,64,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Rockwall,32.89786769,-96.40780584,16.666666666666668,wmoUnit:degC,97,39,16093.44,wmoUnit:m,WI,Y,Flood Warning,Severe,Immediate,2026-03-12T02:30:00-05:00
Trinity,31.0885069,-95.13551682,20.0,wmoUnit:degC,100,75,9656.064,wmoUnit:m,,,Severe Thunderstorm Warning,Severe,Immediate,2026-03-11T08:45:00-05:00
Bosque,31.90050476,-97.63437613,16.666666666666668,wmoUnit:degC,87,22,16093.44,wmoUnit:m,SV,A,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Coke,31.88849293,-100.5298747,12.222222222222221,wmoUnit:degC,61,0,16093.44,wmoUnit:m,,,,,,
Franklin,33.17550691,-95.21841437,18.333333333333332,wmoUnit:degC,100,64,9656.064,wmoUnit:m,,,,,,
Hill,31.99079033,-97.1324142,17.77777777777778,wmoUnit:degC,93,38,16093.44,wmoUnit:m,SV,A,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Calhoun,28.48966896,-96.64708119,21.11111111111111,wmoUnit:degC,100,23,11088.379945129402,wmoUnit:m,,,,,,
Irion,31.30393203,-100.9824126,11.666666666666666,wmoUnit:degC,61,1,16093.44,wmoUnit:m,,,,,,
Midland,31.86921148,-102.0315032,11.666666666666666,wmoUnit:degC,64,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Brown,31.77432313,-98.99989649,14.444444444444445,wmoUnit:degC,93,4,16093.44,wmoUnit:m,,,,,,
Wilson,29.17315896,-98.08621015,19.444444444444443,wmoUnit:degC,87,38,16093.44,wmoUnit:m,,,,,,
Oldham,35.40497586,-102.6029949,4.444444444444445,wmoUnit:degC,61,0,14982.993315307618,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Freestone,31.70486443,-96.14918535,18.333333333333332,wmoUnit:degC,90,73,9656.064,wmoUnit:m,,,,,,
Sabine,31.34321941,-93.85170439,18.333333333333332,wmoUnit:degC,100,55,16093.44,wmoUnit:m,,,,,,
Deaf Smith,34.96602014,-102.6048162,4.444444444444445,wmoUnit:degC,64,0,14757.68460278313,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Angelina,31.25475875,-94.611742,19.444444444444443,wmoUnit:degC,100,70,9656.064,wmoUnit:m,,,,,,
Kent,33.18284492,-100.7791031,10.0,wmoUnit:degC,66,1,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Red River,33.62074539,-95.0501886,17.77777777777778,wmoUnit:degC,100,64,9656.064,wmoUnit:m,,,,,,
Kinney,29.35000302,-100.4178441,14.444444444444445,wmoUnit:degC,90,1,16093.44,wmoUnit:m,SV,A,,,,
Denton,33.205574,-97.11681154,17.22222222222222,wmoUnit:degC,87,9,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Sutton,30.49747152,-100.5382263,11.11111111111111,wmoUnit:degC,96,0,16093.44,wmoUnit:m,,,,,,
Guadalupe,29.58257236,-97.94850308,18.333333333333332,wmoUnit:degC,90,44,16093.44,wmoUnit:m,,,,,,
Winkler,31.85008609,-103.0484794,9.444444444444445,wmoUnit:degC,74,0,16093.44,wmoUnit:m,,,,,,
Dimmit,28.42161168,-99.760574,16.666666666666668,wmoUnit:degC,87,0,16093.44,wmoUnit:m,,,,,,
Wise,33.21585061,-97.65444124,16.666666666666668,wmoUnit:degC,87,6,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Hemphill,35.83750155,-100.2704628,7.222222222222222,wmoUnit:degC,59,0,16077.34619165045,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Potter,35.40128927,-101.8940484,5.555555555555555,wmoUnit:degC,59,0,14596.749588867156,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Childress,34.52929257,-100.2075664,10.555555555555555,wmoUnit:degC,61,1,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Willacy,26.47132899,-97.64303323,21.666666666666668,wmoUnit:degC,91,3,,,,,Rip Current Statement,Moderate,Expected,2026-03-11T10:00:00-05:00
Bastrop,30.10353518,-97.31187705,18.333333333333332,wmoUnit:degC,100,61,9656.064,wmoUnit:m,,,,,,
Kimble,30.48676251,-99.74892716,13.333333333333334,wmoUnit:degC,93,0,16093.44,wmoUnit:m,,,,,,
Scurry,32.74720063,-100.9165071,10.0,wmoUnit:degC,63,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Ochiltree,36.27846334,-100.815653,4.444444444444445,wmoUnit:degC,61,0,15031.273205566422,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T12:00:00-05:00
Hansford,36.27753179,-101.3545624,2.7777777777777777,wmoUnit:degC,66,0,15433.609205566421,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T12:00:00-05:00
Hartley,35.83996755,-102.6028835,3.3333333333333335,wmoUnit:degC,62,0,15948.59879443358,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Cameron,26.13847728,-97.51499968,21.666666666666668,wmoUnit:degC,91,6,,,,,Rip Current Statement,Moderate,Expected,2026-03-11T10:00:00-05:00
Matagorda,28.86711039,-95.98533866,21.11111111111111,wmoUnit:degC,100,12,11265.408,wmoUnit:m,,,,,,
Burnet,30.78843382,-98.18252382,15.555555555555555,wmoUnit:degC,96,24,11265.408,wmoUnit:m,SV,A,,,,
Rains,32.87004212,-95.79347545,18.333333333333332,wmoUnit:degC,90,51,12794.284493041932,wmoUnit:m,,,,,,
Hays,30.05782657,-98.03104087,16.666666666666668,wmoUnit:degC,97,39,16093.44,wmoUnit:m,SV,A,,,,
Mason,30.71742293,-99.2263026,13.88888888888889,wmoUnit:degC,96,6,16093.44,wmoUnit:m,,,,,,
Ward,31.509424,-103.1024636,11.666666666666666,wmoUnit:degC,64,0,16093.44,wmoUnit:m,,,,,,
Delta,33.38623601,-95.67221685,18.333333333333332,wmoUnit:degC,90,48,16093.44,wmoUnit:m,,,,,,
Nueces,27.72621549,-97.61767326,21.666666666666668,wmoUnit:degC,90,23,14548.469698608355,wmoUnit:m,,,,,,
Callahan,32.2977738,-99.37359692,13.333333333333334,wmoUnit:degC,86,1,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Bell,31.03778267,-97.47790776,16.666666666666668,wmoUnit:degC,93,44,16093.44,wmoUnit:m,SV,A,,,,
Cherokee,31.83695632,-95.16515234,20.0,wmoUnit:degC,100,58,9656.064,wmoUnit:m,,,,,,
Ellis,32.34839264,-96.79467417,17.22222222222222,wmoUnit:degC,97,41,16093.44,wmoUnit:m,SV,A,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Lubbock,33.6101944,-101.8205745,8.88888888888889,wmoUnit:degC,60,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Terrell,30.22502597,-102.0764533,12.222222222222221,wmoUnit:degC,57,2,16093.44,wmoUnit:m,,,,,,
Crockett,30.72291931,-101.4118364,10.555555555555555,wmoUnit:degC,68,2,16093.44,wmoUnit:m,,,,,,
Atascosa,28.89418432,-98.52741302,18.333333333333332,wmoUnit:degC,90,19,16093.44,wmoUnit:m,,,,,,
Ector,31.86908156,-102.5430907,11.666666666666666,wmoUnit:degC,64,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Brazos,30.6610425,-96.3022943,19.444444444444443,wmoUnit:degC,98,58,9656.064,wmoUnit:m,,,,,,
Aransas,28.12709562,-96.99258951,21.666666666666668,wmoUnit:degC,97,34,7885.785753478953,wmoUnit:m,MA,S,,,,
Dallas,32.76653746,-96.77781862,17.22222222222222,wmoUnit:degC,93,30,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Howard,32.30610232,-101.4355097,10.0,wmoUnit:degC,66,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Motley,34.07409017,-100.7798961,11.666666666666666,wmoUnit:degC,57,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
San Augustine,31.39427005,-94.16809762,18.333333333333332,wmoUnit:degC,100,59,9656.064,wmoUnit:m,,,,,,
Maverick,28.74260943,-100.3144638,15.0,wmoUnit:degC,93,2,16093.44,wmoUnit:m,SV,A,,,,
Erath,32.23640361,-98.21722756,15.555555555555555,wmoUnit:degC,90,11,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Dickens,33.61663428,-100.7788138,10.0,wmoUnit:degC,63,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Caldwell,29.83677935,-97.61983479,17.77777777777778,wmoUnit:degC,100,57,9656.064,wmoUnit:m,,,,,,
Dawson,32.74258137,-101.9476136,10.0,wmoUnit:degC,58,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Camp,32.97321771,-94.97860185,18.333333333333332,wmoUnit:degC,100,67,9656.064,wmoUnit:m,,,,,,
Duval,27.68133382,-98.50889672,19.444444444444443,wmoUnit:degC,90,4,16093.44,wmoUnit:m,,,,,,
Hunt,33.123531,-96.08550014,17.22222222222222,wmoUnit:degC,90,44,16093.44,wmoUnit:m,,,Flood Warning,Severe,Immediate,2026-03-12T02:30:00-05:00
Mills,31.49524259,-98.59552736,15.555555555555555,wmoUnit:degC,93,11,16093.44,wmoUnit:m,SV,A,,,,
Val Verde,29.89300587,-101.15171,12.777777777777779,wmoUnit:degC,74,3,16093.44,wmoUnit:m,,,,,,
Pecos,30.78100044,-102.7235743,13.333333333333334,wmoUnit:degC,53,0,16093.44,wmoUnit:m,,,,,,
Baylor,33.61648147,-99.21351964,11.666666666666666,wmoUnit:degC,83,0,,,WI,Y,Fire Weather Watch,Severe,Future,2026-03-11T17:00:00-05:00
Gregg,32.48036452,-94.81723694,18.333333333333332,wmoUnit:degC,100,53,9656.064,wmoUnit:m,,,Flood Warning,Severe,Expected,2026-03-12T08:15:00-05:00
Cochran,33.60410808,-102.8285264,7.777777777777778,wmoUnit:degC,58,1,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Jasper,30.74391255,-94.02495849,21.11111111111111,wmoUnit:degC,100,32,12794.284493041932,wmoUnit:m,,,,,,
Hamilton,31.70479181,-98.11066654,16.11111111111111,wmoUnit:degC,90,15,16093.44,wmoUnit:m,SV,A,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Castro,34.53000304,-102.2617608,5.0,wmoUnit:degC,67,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Sterling,31.82786516,-101.0500699,11.666666666666666,wmoUnit:degC,59,0,16093.44,wmoUnit:m,,,,,,
Starr,26.56212627,-98.73834895,20.0,wmoUnit:degC,88,0,,,,,,,,
Crane,31.42846287,-102.5156425,12.777777777777779,wmoUnit:degC,61,0,16093.44,wmoUnit:m,,,,,,
Morris,33.11368507,-94.73205137,18.333333333333332,wmoUnit:degC,100,72,9656.064,wmoUnit:m,,,,,,
Briscoe,34.53041048,-101.2085769,7.777777777777778,wmoUnit:degC,58,2,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Tom Green,31.4044442,-100.4620678,12.222222222222221,wmoUnit:degC,77,0,16093.44,wmoUnit:m,,,,,,
Menard,30.88981785,-99.82061472,12.222222222222221,wmoUnit:degC,96,0,16093.44,wmoUnit:m,,,,,,
Parker,32.77852261,-97.80472194,15.555555555555555,wmoUnit:degC,90,12,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Walker,30.73899492,-95.57224172,21.11111111111111,wmoUnit:degC,95,62,7934.065643737756,wmoUnit:m,,,Special Weather Statement,Moderate,Expected,2026-03-11T08:30:00-05:00
Brooks,27.0315669,-98.21874127,20.555555555555557,wmoUnit:degC,90,6,,,,,,,,
La Salle,28.34621032,-99.1034773,19.444444444444443,wmoUnit:degC,81,6,16093.44,wmoUnit:m,,,,,,
Edwards,29.98248216,-100.3048937,12.222222222222221,wmoUnit:degC,86,0,16093.44,wmoUnit:m,,,,,,
Lee,30.31065065,-96.96568735,18.88888888888889,wmoUnit:degC,97,69,9656.064,wmoUnit:m,,,,,,
Robertson,31.02705415,-96.51272568,19.444444444444443,wmoUnit:degC,84,66,9656.064,wmoUnit:m,,,,,,
Young,33.17670764,-98.68781396,15.0,wmoUnit:degC,83,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Bee,28.41736675,-97.74116811,20.0,wmoUnit:degC,93,22,14548.469698608355,wmoUnit:m,,,,,,
Clay,33.78379717,-98.208958,14.444444444444445,wmoUnit:degC,93,0,,,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
San Jacinto,30.57948905,-95.16683273,20.0,wmoUnit:degC,100,44,16093.44,wmoUnit:m,,,,,,
Uvalde,29.35669829,-99.76203107,13.88888888888889,wmoUnit:degC,96,6,16093.44,wmoUnit:m,SV,A,,,,
Haskell,33.17824805,-99.73029401,12.222222222222221,wmoUnit:degC,74,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Somervell,32.22229511,-97.77456553,16.666666666666668,wmoUnit:degC,84,15,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Bexar,29.44884523,-98.51966309,18.333333333333332,wmoUnit:degC,90,24,16093.44,wmoUnit:m,,,,,,
Grayson,33.62684371,-96.67764864,17.22222222222222,wmoUnit:degC,84,10,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Bailey,34.0684915,-102.8299069,6.111111111111111,wmoUnit:degC,60,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Jones,32.73970429,-99.87850599,13.333333333333334,wmoUnit:degC,62,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Jefferson,29.88425832,-94.1708778,20.555555555555557,wmoUnit:degC,100,15,12794.284493041932,wmoUnit:m,,,,,,
Rusk,32.10803224,-94.76169577,19.444444444444443,wmoUnit:degC,100,62,9656.064,wmoUnit:m,,,Flood Warning,Severe,Expected,2026-03-12T08:15:00-05:00
Glasscock,31.8694238,-101.520742,10.555555555555555,wmoUnit:degC,66,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Gillespie,30.31800246,-98.94627245,15.0,wmoUnit:degC,93,13,12794.284493041932,wmoUnit:m,SV,A,,,,
Fisher,32.74305155,-100.4019503,13.333333333333334,wmoUnit:degC,51,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Henderson,32.21188078,-95.85356847,18.333333333333332,wmoUnit:degC,90,54,16093.44,wmoUnit:m,,,,,,
Shackelford,32.7360276,-99.35403034,13.333333333333334,wmoUnit:degC,83,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T18:00:00-05:00
Palo Pinto,32.75316856,-98.31299522,15.555555555555555,wmoUnit:degC,87,9,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T16:00:00-05:00
Wilbarger,34.08044953,-99.24089568,11.11111111111111,wmoUnit:degC,80,0,,,WI,Y,Red Flag Warning,Severe,Expected,2026-03-11T17:00:00-05:00
Floyd,34.07239775,-101.3033037,7.777777777777778,wmoUnit:degC,63,0,9656.064,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Orange,30.12807126,-93.89653794,20.555555555555557,wmoUnit:degC,97,8,11136.66060278313,wmoUnit:m,,,,,,
Runnels,31.83105393,-99.97624799,12.777777777777779,wmoUnit:degC,83,0,16093.44,wmoUnit:m,,,,,,
Coleman,31.77329421,-99.45362579,13.88888888888889,wmoUnit:degC,86,0,16093.44,wmoUnit:m,,,,,,
Martin,32.30605847,-101.9512464,10.555555555555555,wmoUnit:degC,63,0,16093.44,wmoUnit:m,WI,Y,Wind Advisory,Moderate,Expected,2026-03-11T19:00:00-05:00
Wheeler,35.40129002,-100.2697634,7.222222222222222,wmoUnit:degC,59,1,16077.34619165045,wmoUnit:m,HW,W,High Wind Warning,Severe,Expected,2026-03-11T12:00:00-05:00
Culberson,31.44709817,-104.5177421,8.88888888888889,wmoUnit:degC,71,0,16093.44,wmoUnit:m,WI,Y,,,,
